"Time (s)","Recording (a.u.)"
1.354166667E-2,-5.187988281E-4
1.356250000E-2,-1.373291016E-3
1.358333333E-2,-7.019042969E-4
1.360416667E-2,-1.007080078E-3
1.362500000E-2,-8.544921875E-4
1.364583333E-2,-4.272460938E-4
1.366666667E-2,-3.967285156E-4
1.368750000E-2,9.460449219E-4
1.370833333E-2,-5.187988281E-4
1.372916667E-2,1.007080078E-3
1.375000000E-2,9.765625000E-4
1.377083333E-2,3.662109375E-4
1.379166667E-2,8.850097656E-4
1.381250000E-2,1.831054688E-4
1.383333333E-2,6.103515625E-4
1.385416667E-2,-9.155273438E-5
1.387500000E-2,1.831054688E-4
1.389583333E-2,-6.103515625E-4
1.391666667E-2,-3.662109375E-4
1.393750000E-2,-7.019042969E-4
1.395833333E-2,-6.713867188E-4
1.397916667E-2,-6.713867188E-4
1.400000000E-2,-9.155273438E-5
1.402083333E-2,0.000000000E0
1.404166667E-2,-1.831054688E-4
1.406250000E-2,2.441406250E-4
1.408333333E-2,-7.934570312E-4
1.410416667E-2,-7.934570312E-4
1.412500000E-2,-6.713867188E-4
1.414583333E-2,-6.713867188E-4
1.416666667E-2,-1.068115234E-3
1.418750000E-2,-8.850097656E-4
1.420833333E-2,-1.007080078E-3
1.422916667E-2,-4.272460938E-4
1.425000000E-2,-4.577636719E-4
1.427083333E-2,-8.544921875E-4
1.429166667E-2,-8.239746094E-4
1.431250000E-2,-1.129150391E-3
1.433333333E-2,-6.713867188E-4
1.435416667E-2,-1.434326172E-3
1.437500000E-2,-7.629394531E-4
1.439583333E-2,9.155273438E-5
1.441666667E-2,-2.136230469E-4
1.443750000E-2,-3.967285156E-4
1.445833333E-2,-1.251220703E-3
1.447916667E-2,-7.324218750E-4
1.450000000E-2,-1.007080078E-3
1.452083333E-2,-1.464843750E-3
1.454166667E-2,-1.831054688E-3
1.456250000E-2,-1.708984375E-3
1.458333333E-2,-9.765625000E-4
1.460416667E-2,-1.190185547E-3
1.462500000E-2,-1.068115234E-3
1.464583333E-2,-1.068115234E-3
1.466666667E-2,-2.136230469E-4
1.468750000E-2,4.272460938E-4
1.470833333E-2,6.103515625E-5
1.472916667E-2,5.493164062E-4
1.475000000E-2,8.239746094E-4
1.477083333E-2,7.324218750E-4
1.479166667E-2,1.403808594E-3
1.481250000E-2,6.713867188E-4
1.483333333E-2,6.713867188E-4
1.485416667E-2,-4.882812500E-4
1.487500000E-2,-1.464843750E-3
1.489583333E-2,-1.617431641E-3
1.491666667E-2,-1.770019531E-3
1.493750000E-2,-5.187988281E-4
1.495833333E-2,-7.019042969E-4
1.497916667E-2,-3.662109375E-4
1.500000000E-2,-6.408691406E-4
1.502083333E-2,-8.544921875E-4
1.504166667E-2,-1.190185547E-3
1.506250000E-2,-1.434326172E-3
1.508333333E-2,-1.251220703E-3
1.510416667E-2,-1.037597656E-3
1.512500000E-2,-1.007080078E-3
1.514583333E-2,-1.708984375E-3
1.516666667E-2,-1.403808594E-3
1.518750000E-2,-1.525878906E-3
1.520833333E-2,-9.460449219E-4
1.522916667E-2,-8.239746094E-4
1.525000000E-2,-3.051757812E-5
1.527083333E-2,-3.051757812E-4
1.529166667E-2,-3.662109375E-4
1.531250000E-2,-1.159667969E-3
1.533333333E-2,-2.227783203E-3
1.535416667E-2,-9.765625000E-4
